id,name,sort_no,discriminator_type
"352","アイスランド","1","country"
"372","アイルランド","2","country"
"31","アゼルバイジャン","3","country"
"4","アフガニスタン","4","country"
"840","アメリカ合衆国","5","country"
"850","アメリカ領ヴァージン諸島","6","country"
"16","アメリカ領サモア","7","country"
"784","アラブ首長国連邦","8","country"
"12","アルジェリア","9","country"
"32","アルゼンチン","10","country"
"533","アルバ","11","country"
"8","アルバニア","12","country"
"51","アルメニア","13","country"
"660","アンギラ","14","country"
"24","アンゴラ","15","country"
"28","アンティグア・バーブーダ","16","country"
"20","アンドラ","17","country"
"887","イエメン","18","country"
"826","イギリス","19","country"
"86","イギリス領インド洋地域","20","country"
"92","イギリス領ヴァージン諸島","21","country"
"376","イスラエル","22","country"
"380","イタリア","23","country"
"368","イラク","24","country"
"364","イラン|イラン・イスラム共和国","25","country"
"356","インド","26","country"
"360","インドネシア","27","country"
"876","ウォリス・フツナ","28","country"
"800","ウガンダ","29","country"
"804","ウクライナ","30","country"
"860","ウズベキスタン","31","country"
"858","ウルグアイ","32","country"
"218","エクアドル","33","country"
"818","エジプト","34","country"
"233","エストニア","35","country"
"231","エチオピア","36","country"
"232","エリトリア","37","country"
"222","エルサルバドル","38","country"
"36","オーストラリア","39","country"
"40","オーストリア","40","country"
"248","オーランド諸島","41","country"
"512","オマーン","42","country"
"528","オランダ","43","country"
"288","ガーナ","44","country"
"132","カーボベルデ","45","country"
"831","ガーンジー","46","country"
"328","ガイアナ","47","country"
"398","カザフスタン","48","country"
"634","カタール","49","country"
"581","合衆国領有小離島","50","country"
"124","カナダ","51","country"
"266","ガボン","52","country"
"120","カメルーン","53","country"
"270","ガンビア","54","country"
"116","カンボジア","55","country"
"580","北マリアナ諸島","56","country"
"324","ギニア","57","country"
"624","ギニアビサウ","58","country"
"196","キプロス","59","country"
"192","キューバ","60","country"
"531","キュラソー島|キュラソー","61","country"
"300","ギリシャ","62","country"
"296","キリバス","63","country"
"417","キルギス","64","country"
"320","グアテマラ","65","country"
"312","グアドループ","66","country"
"316","グアム","67","country"
"414","クウェート","68","country"
"184","クック諸島","69","country"
"304","グリーンランド","70","country"
"162","クリスマス島 (オーストラリア)|クリスマス島","71","country"
"268","グルジア","72","country"
"308","グレナダ","73","country"
"191","クロアチア","74","country"
"136","ケイマン諸島","75","country"
"404","ケニア","76","country"
"384","コートジボワール","77","country"
"166","ココス諸島|ココス（キーリング）諸島","78","country"
"188","コスタリカ","79","country"
"174","コモロ","80","country"
"170","コロンビア","81","country"
"178","コンゴ共和国","82","country"
"180","コンゴ民主共和国","83","country"
"682","サウジアラビア","84","country"
"239","サウスジョージア・サウスサンドウィッチ諸島","85","country"
"882","サモア","86","country"
"678","サントメ・プリンシペ","87","country"
"652","サン・バルテルミー島|サン・バルテルミー","88","country"
"894","ザンビア","89","country"
"666","サンピエール島・ミクロン島","90","country"
"674","サンマリノ","91","country"
"663","サン・マルタン (西インド諸島)|サン・マルタン（フランス領）","92","country"
"694","シエラレオネ","93","country"
"262","ジブチ","94","country"
"292","ジブラルタル","95","country"
"832","ジャージー","96","country"
"388","ジャマイカ","97","country"
"760","シリア|シリア・アラブ共和国","98","country"
"702","シンガポール","99","country"
"534","シント・マールテン|シント・マールテン（オランダ領）","100","country"
"716","ジンバブエ","101","country"
"756","スイス","102","country"
"752","スウェーデン","103","country"
"729","スーダン","104","country"
"744","スヴァールバル諸島およびヤンマイエン島","105","country"
"724","スペイン","106","country"
"740","スリナム","107","country"
"144","スリランカ","108","country"
"703","スロバキア","109","country"
"705","スロベニア","110","country"
"748","スワジランド","111","country"
"690","セーシェル","112","country"
"226","赤道ギニア","113","country"
"686","セネガル","114","country"
"688","セルビア","115","country"
"659","セントクリストファー・ネイビス","116","country"
"670","セントビンセント・グレナディーン|セントビンセントおよびグレナディーン諸島","117","country"
"426","レソト","246","country"
"654","セントヘレナ・アセンションおよびトリスタンダクーニャ","118","country"
"662","セントルシア","119","country"
"706","ソマリア","120","country"
"90","ソロモン諸島","121","country"
"796","タークス・カイコス諸島","122","country"
"764","タイ王国|タイ","123","country"
"410","大韓民国","124","country"
"158","台湾","125","country"
"762","タジキスタン","126","country"
"834","タンザニア","127","country"
"203","チェコ","128","country"
"148","チャド","129","country"
"140","中央アフリカ共和国","130","country"
"156","中華人民共和国|中国","131","country"
"788","チュニジア","132","country"
"408","朝鮮民主主義人民共和国","133","country"
"152","チリ","134","country"
"798","ツバル","135","country"
"208","デンマーク","136","country"
"276","ドイツ","137","country"
"768","トーゴ","138","country"
"772","トケラウ","139","country"
"214","ドミニカ共和国","140","country"
"212","ドミニカ国","141","country"
"780","トリニダード・トバゴ","142","country"
"795","トルクメニスタン","143","country"
"792","トルコ","144","country"
"776","トンガ","145","country"
"566","ナイジェリア","146","country"
"520","ナウル","147","country"
"516","ナミビア","148","country"
"10","南極","149","country"
"570","ニウエ","150","country"
"558","ニカラグア","151","country"
"562","ニジェール","152","country"
"392","日本","153","country"
"732","西サハラ","154","country"
"540","ニューカレドニア","155","country"
"554","ニュージーランド","156","country"
"524","ネパール","157","country"
"574","ノーフォーク島","158","country"
"578","ノルウェー","159","country"
"334","ハード島とマクドナルド諸島","160","country"
"48","バーレーン","161","country"
"332","ハイチ","162","country"
"586","パキスタン","163","country"
"336","バチカン|バチカン市国","164","country"
"591","パナマ","165","country"
"548","バヌアツ","166","country"
"44","バハマ","167","country"
"598","パプアニューギニア","168","country"
"60","バミューダ諸島|バミューダ","169","country"
"585","パラオ","170","country"
"600","パラグアイ","171","country"
"52","バルバドス","172","country"
"275","パレスチナ","173","country"
"348","ハンガリー","174","country"
"50","バングラデシュ","175","country"
"626","東ティモール","176","country"
"612","ピトケアン諸島|ピトケアン","177","country"
"242","フィジー","178","country"
"608","フィリピン","179","country"
"246","フィンランド","180","country"
"64","ブータン","181","country"
"74","ブーベ島","182","country"
"630","プエルトリコ","183","country"
"234","フェロー諸島","184","country"
"238","フォークランド諸島|フォークランド（マルビナス）諸島","185","country"
"76","ブラジル","186","country"
"250","フランス","187","country"
"254","フランス領ギアナ","188","country"
"258","フランス領ポリネシア","189","country"
"260","フランス領南方・南極地域","190","country"
"100","ブルガリア","191","country"
"854","ブルキナファソ","192","country"
"96","ブルネイ|ブルネイ・ダルサラーム","193","country"
"108","ブルンジ","194","country"
"704","ベトナム","195","country"
"204","ベナン","196","country"
"862","ベネズエラ|ベネズエラ・ボリバル共和国","197","country"
"112","ベラルーシ","198","country"
"84","ベリーズ","199","country"
"604","ペルー","200","country"
"56","ベルギー","201","country"
"616","ポーランド","202","country"
"70","ボスニア・ヘルツェゴビナ","203","country"
"72","ボツワナ","204","country"
"535","BES諸島|ボネール、シント・ユースタティウスおよびサバ","205","country"
"68","ボリビア|ボリビア多民族国","206","country"
"620","ポルトガル","207","country"
"344","香港","208","country"
"340","ホンジュラス","209","country"
"584","マーシャル諸島","210","country"
"446","マカオ","211","country"
"807","マケドニア共和国|マケドニア旧ユーゴスラビア共和国","212","country"
"450","マダガスカル","213","country"
"175","マヨット","214","country"
"454","マラウイ","215","country"
"466","マリ共和国|マリ","216","country"
"470","マルタ","217","country"
"474","マルティニーク","218","country"
"458","マレーシア","219","country"
"833","マン島","220","country"
"583","ミクロネシア連邦","221","country"
"710","南アフリカ共和国|南アフリカ","222","country"
"728","南スーダン","223","country"
"104","ミャンマー","224","country"
"484","メキシコ","225","country"
"480","モーリシャス","226","country"
"478","モーリタニア","227","country"
"508","モザンビーク","228","country"
"492","モナコ","229","country"
"462","モルディブ","230","country"
"498","モルドバ|モルドバ共和国","231","country"
"504","モロッコ","232","country"
"496","モンゴル国|モンゴル","233","country"
"499","モンテネグロ","234","country"
"500","モントセラト","235","country"
"400","ヨルダン","236","country"
"418","ラオス|ラオス人民民主共和国","237","country"
"428","ラトビア","238","country"
"440","リトアニア","239","country"
"434","リビア","240","country"
"438","リヒテンシュタイン","241","country"
"430","リベリア","242","country"
"642","ルーマニア","243","country"
"442","ルクセンブルク","244","country"
"646","ルワンダ","245","country"
"422","レバノン","247","country"
"638","レユニオン","248","country"
"643","ロシア|ロシア連邦","249","country"
